Study_Hours,Attendance_Rate,Previous_Score,Sleep_Hours,Extracurricular,Exam_Score
6.6,71.3,77.1,6.2,Yes,65.2
5.6,64.7,74.0,7.0,No,54.0
3.4,87.9,56.3,9.1,Yes,51.2
2.3,85.2,69.2,6.2,Yes,47.0
4.7,95.1,77.0,9.2,No,62.6
11.4,89.4,48.0,7.8,Yes,73.5
4.6,92.1,74.5,6.3,No,68.4
6.7,71.3,60.0,7.8,No,50.8
8.7,67.1,74.8,8.2,No,65.0
5.0,90.0,58.8,7.7,No,54.3
11.7,92.3,46.3,5.1,Yes,79.5
11.6,99.6,48.5,6.1,Yes,81.4
3.8,76.5,68.6,6.7,No,54.5
6.5,74.9,71.1,6.9,Yes,60.2
4.3,91.1,57.1,7.7,Yes,57.9
4.1,73.6,75.7,7.2,Yes,52.4
1.4,97.2,48.1,5.4,Yes,49.3
7.7,94.3,67.2,7.5,Yes,70.5
6.5,77.2,53.5,7.7,,58.7
1.6,90.0,60.2,7.7,No,47.2
4.1,90.2,68.6,8.3,No,59.4
11.0,64.1,57.7,8.0,No,67.1
3.6,96.1,63.4,7.6,Yes,58.5
2.6,80.2,80.1,6.9,Yes,54.6
6.4,93.1,61.1,5.0,Yes,61.3
11.8,72.8,78.0,7.5,No,87.2
3.7,95.8,54.4,7.2,No,61.4
8.4,75.6,74.4,7.3,Yes,70.1
9.4,60.4,85.3,5.5,No,62.3
3.6,96.2,40.0,5.7,,45.8
9.0,63.7,58.4,8.3,No,70.7
5.0,72.8,74.9,7.0,No,52.5
8.0,98.0,65.6,7.8,No,81.4
8.0,98.0,72.5,7.0,No,84.0
6.9,82.9,60.8,7.0,No,59.3
,85.3,69.0,8.1,Yes,52.7
10.2,77.9,66.1,6.4,No,79.5
4.5,71.7,82.0,7.1,Yes,57.4
3.1,73.1,71.1,6.4,No,45.1
1.4,86.9,72.1,6.5,No,44.2
7.5,90.1,63.1,6.6,No,63.3
8.5,91.7,62.1,7.3,No,69.6
1.2,91.6,62.8,6.4,No,38.7
6.6,63.6,72.7,8.5,No,57.4
3.5,79.8,62.9,5.9,No,42.9
8.1,62.3,71.5,6.8,Yes,64.4
2.9,82.0,92.9,6.5,Yes,54.9
8.6,77.7,78.5,8.7,Yes,77.1
5.3,95.5,64.1,7.2,Yes,68.3
11.3,74.0,82.4,8.2,No,75.9
2.5,,63.1,5.2,Yes,37.5
4.8,65.7,43.5,7.3,No,43.6
2.2,90.5,55.9,8.1,Yes,43.4
11.2,84.7,45.6,7.1,Yes,81.4
10.7,64.0,63.8,8.3,No,70.7
,63.4,68.2,6.4,No,40.4
8.3,88.0,88.1,8.7,No,80.5
10.0,62.9,71.9,9.8,No,69.9
7.1,92.9,65.4,6.6,No,68.3
6.8,88.2,78.0,6.5,Yes,74.6
3.7,63.3,41.5,8.7,No,28.8
2.0,63.4,70.8,8.9,No,39.2
10.9,99.5,77.3,6.4,No,84.3
10.9,75.0,50.3,6.5,Yes,70.0
8.0,74.8,81.7,6.7,No,66.6
4.7,92.5,72.1,5.4,Yes,58.3
4.8,97.9,63.0,5.9,,66.7
9.0,99.4,75.6,5.8,Yes,87.6
10.9,90.1,95.2,6.1,No,95.1
10.8,75.1,70.2,7.0,No,72.1
,63.3,71.0,7.3,No,66.1
8.1,91.1,62.5,8.9,No,75.3
,82.3,57.8,5.8,Yes,41.8
2.8,77.0,78.0,8.2,Yes,62.7
10.9,96.3,57.7,6.7,Yes,85.0
7.7,64.4,68.9,6.9,No,60.2
1.1,79.7,62.3,7.8,Yes,40.4
2.1,60.5,73.7,5.7,No,36.4
8.3,78.7,72.0,7.5,No,69.4
1.1,62.3,80.5,7.2,Yes,43.8
2.8,64.8,61.9,7.6,No,42.4
7.0,64.7,64.8,7.3,No,52.7
8.6,86.0,56.3,9.9,,60.4
8.2,89.8,62.7,6.2,No,61.6
3.5,83.3,72.5,6.4,Yes,57.1
8.8,98.5,77.1,6.3,Yes,79.5
3.6,75.0,56.9,6.3,,34.1
4.6,71.4,78.4,6.2,,55.2
9.2,94.7,84.3,8.4,Yes,98.4
8.1,68.9,73.0,8.7,No,65.3
,98.5,90.5,6.3,,96.3
8.2,60.5,58.7,6.0,No,54.1
7.3,98.8,53.1,7.6,Yes,69.3
2.0,61.7,46.7,6.3,No,30.1
5.0,95.6,86.0,7.8,No,70.1
3.9,81.1,75.9,7.2,Yes,59.5
3.7,99.7,67.3,5.2,Yes,59.2
11.7,63.0,71.4,8.9,No,72.7
5.3,82.2,54.5,9.2,Yes,58.8
10.8,98.8,97.3,6.3,No,96.9
7.9,80.9,69.6,6.5,No,64.5
9.7,,69.3,7.3,Yes,81.9
6.5,87.8,76.7,7.4,No,65.7
7.3,78.2,73.8,7.8,Yes,69.7
6.4,85.1,70.7,9.4,No,64.1
3.1,83.4,58.5,6.8,Yes,53.0
8.9,96.0,73.7,6.0,No,80.8
4.1,61.8,90.6,5.3,Yes,52.6
1.3,71.2,84.1,6.1,Yes,48.9
8.1,98.0,87.1,7.0,No,89.4
2.9,95.6,61.9,9.2,Yes,57.1
11.3,78.2,56.1,6.4,No,73.3
11.5,84.8,66.5,7.3,Yes,79.7
11.1,71.1,68.7,7.0,No,71.0
5.1,67.5,81.1,8.4,Yes,57.9
1.2,78.5,47.7,10.0,No,28.0
11.2,74.1,86.4,6.4,No,82.9
5.7,83.3,66.1,6.4,Yes,61.2
11.6,63.1,62.9,8.3,Yes,76.6
11.6,99.0,55.9,7.8,Yes,87.3
10.4,99.4,48.1,9.2,No,78.5
